venue,innings,batting_team,bowling_team,total_runs
Punjab Cricket Association IS Bindra Stadium,1,Mumbai Indians,Kings XI Punjab,62
Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Mumbai Indians,38
Arun Jaitley Stadium,1,Kolkata Knight Riders,Delhi Capitals,36
Arun Jaitley Stadium,2,Delhi Capitals,Kolkata Knight Riders,45
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,59
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,30
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,29
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,44
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Delhi Capitals,54
Punjab Cricket Association IS Bindra Stadium,2,Delhi Capitals,Kings XI Punjab,49
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,48
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,55
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,40
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,34
Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,36
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,62
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,53
M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,59
MA Chidambaram Stadium,1,Chennai Super Kings,Kings XI Punjab,54
MA Chidambaram Stadium,2,Kings XI Punjab,Chennai Super Kings,46
Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,30
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,39
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,40
M.Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,53
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,28
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,65
Punjab Cricket Association IS Bindra Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,27
Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,38
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,29
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,40
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,50
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,50
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,54
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,24
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,41
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,57
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,57
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,59
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,60
Punjab Cricket Association IS Bindra Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,63
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,49
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,44
Rajiv Gandhi International Stadium,1,Delhi Capitals,Sunrisers Hyderabad,51
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Capitals,40
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,45
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,67
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Rajasthan Royals,39
Punjab Cricket Association IS Bindra Stadium,2,Rajasthan Royals,Kings XI Punjab,54
Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,41
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,68
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,56
Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,48
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,42
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,37
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,45
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,60
Arun Jaitley Stadium,1,Kings XI Punjab,Delhi Capitals,50
Arun Jaitley Stadium,2,Delhi Capitals,Kings XI Punjab,60
Rajiv Gandhi International Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,61
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,72
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,49
M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,32
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Capitals,52
Sawai Mansingh Stadium,2,Delhi Capitals,Rajasthan Royals,59
MA Chidambaram Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,54
MA Chidambaram Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,49
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,70
M.Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,68
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,32
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,55
MA Chidambaram Stadium,1,Mumbai Indians,Chennai Super Kings,45
MA Chidambaram Stadium,2,Chennai Super Kings,Mumbai Indians,40
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,51
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,60
Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,59
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Capitals,64
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,50
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,41
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,77
Rajiv Gandhi International Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,44
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,62
M.Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,41
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,27
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,59
Wankhede Stadium,1,Mumbai Indians,Sunrisers Hyderabad,44
Wankhede Stadium,2,Sunrisers Hyderabad,Mumbai Indians,59
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Kolkata Knight Riders,41
Punjab Cricket Association IS Bindra Stadium,2,Kolkata Knight Riders,Kings XI Punjab,62
Arun Jaitley Stadium,1,Rajasthan Royals,Delhi Capitals,30
Arun Jaitley Stadium,2,Delhi Capitals,Rajasthan Royals,46
M.Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,52
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,49
Punjab Cricket Association IS Bindra Stadium,1,Chennai Super Kings,Kings XI Punjab,42
Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Chennai Super Kings,67
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,49
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,46
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,32
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,44
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,54
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Capitals,Sunrisers Hyderabad,55
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Capitals,Chennai Super Kings,41
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Chennai Super Kings,Delhi Capitals,42
Rajiv Gandhi International Stadium,1,Mumbai Indians,Chennai Super Kings,45
Rajiv Gandhi International Stadium,2,Chennai Super Kings,Mumbai Indians,53
Sheikh Zayed Stadium,1,Mumbai Indians,Chennai Super Kings,51
Sheikh Zayed Stadium,2,Chennai Super Kings,Mumbai Indians,31
Dubai International Cricket Stadium,1,Delhi Capitals,Kings XI Punjab,23
Dubai International Cricket Stadium,2,Kings XI Punjab,Delhi Capitals,35
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,17
Sheikh Zayed Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,44
Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,48
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Mumbai Indians,55
Sharjah Cricket Stadium,1,Rajasthan Royals,Chennai Super Kings,54
Sharjah Cricket Stadium,2,Chennai Super Kings,Rajasthan Royals,53
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Delhi Capitals,36
Sheikh Zayed Stadium,2,Delhi Capitals,Kolkata Knight Riders,36
Dubai International Cricket Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,47
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Kings XI Punjab,52
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Mumbai Indians,54
Sheikh Zayed Stadium,2,Mumbai Indians,Royal Challengers Bangalore,41
Sharjah Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,50
Sharjah Cricket Stadium,2,Rajasthan Royals,Delhi Capitals,41
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Chennai Super Kings,51
Sheikh Zayed Stadium,2,Chennai Super Kings,Kolkata Knight Riders,54
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,30
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,58
Sheikh Zayed Stadium,1,Mumbai Indians,Kings XI Punjab,41
Sheikh Zayed Stadium,2,Kings XI Punjab,Mumbai Indians,41
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,42
Dubai International Cricket Stadium,2,Rajasthan Royals,Kolkata Knight Riders,39
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Delhi Capitals,40
Sheikh Zayed Stadium,2,Delhi Capitals,Royal Challengers Bangalore,53
Sheikh Zayed Stadium,1,Kings XI Punjab,Chennai Super Kings,53
Sheikh Zayed Stadium,2,Chennai Super Kings,Kings XI Punjab,57
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,26
Dubai International Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,36
Sheikh Zayed Stadium,1,Mumbai Indians,Kolkata Knight Riders,59
Sheikh Zayed Stadium,2,Kolkata Knight Riders,Mumbai Indians,33
Sharjah Cricket Stadium,1,Chennai Super Kings,Delhi Capitals,39
Sharjah Cricket Stadium,2,Delhi Capitals,Chennai Super Kings,41
Dubai International Cricket Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,48
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,36
Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,57
Sheikh Zayed Stadium,2,Rajasthan Royals,Mumbai Indians,31
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,48
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,54
Dubai International Cricket Stadium,1,Kings XI Punjab,Chennai Super Kings,46
Dubai International Cricket Stadium,2,Chennai Super Kings,Kings XI Punjab,60
Sheikh Zayed Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,38
Sheikh Zayed Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,50
Sharjah Cricket Stadium,1,Delhi Capitals,Kolkata Knight Riders,57
Sharjah Cricket Stadium,2,Kolkata Knight Riders,Delhi Capitals,58
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,42
Dubai International Cricket Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,36
Dubai International Cricket Stadium,1,Mumbai Indians,Kings XI Punjab,43
Dubai International Cricket Stadium,2,Kings XI Punjab,Mumbai Indians,51
Dubai International Cricket Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,47
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,52
Dubai International Cricket Stadium,1,Delhi Capitals,Royal Challengers Bangalore,63
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Delhi Capitals,43
Sharjah Cricket Stadium,1,Kolkata Knight Riders,Kings XI Punjab,54
Sharjah Cricket Stadium,2,Kings XI Punjab,Kolkata Knight Riders,36
Sharjah Cricket Stadium,1,Chennai Super Kings,Mumbai Indians,24
Sharjah Cricket Stadium,2,Mumbai Indians,Chennai Super Kings,52
Dubai International Cricket Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,47
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Kings XI Punjab,25
Sheikh Zayed Stadium,2,Kings XI Punjab,Kolkata Knight Riders,47
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,77
Dubai International Cricket Stadium,2,Delhi Capitals,Sunrisers Hyderabad,54
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,36
Dubai International Cricket Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,26
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Mumbai Indians,33
Sheikh Zayed Stadium,2,Mumbai Indians,Kolkata Knight Riders,51
Sharjah Cricket Stadium,1,Kings XI Punjab,Rajasthan Royals,60
Sharjah Cricket Stadium,2,Rajasthan Royals,Kings XI Punjab,69
Dubai International Cricket Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,44
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,40
Sheikh Zayed Stadium,1,Delhi Capitals,Mumbai Indians,46
Sheikh Zayed Stadium,2,Mumbai Indians,Delhi Capitals,44
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,55
Dubai International Cricket Stadium,2,Rajasthan Royals,Kolkata Knight Riders,41
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,57
Sharjah Cricket Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,56
Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Delhi Capitals,38
Sheikh Zayed Stadium,2,Delhi Capitals,Sunrisers Hyderabad,34
Sheikh Zayed Stadium,1,Chennai Super Kings,Rajasthan Royals,43
Sheikh Zayed Stadium,2,Rajasthan Royals,Chennai Super Kings,31
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,53
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,48
Dubai International Cricket Stadium,1,Delhi Capitals,Mumbai Indians,22
Dubai International Cricket Stadium,2,Mumbai Indians,Delhi Capitals,38
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Chennai Super Kings,48
Dubai International Cricket Stadium,2,Chennai Super Kings,Kolkata Knight Riders,44
Sheikh Zayed Stadium,1,Kings XI Punjab,Rajasthan Royals,53
Sheikh Zayed Stadium,2,Rajasthan Royals,Kings XI Punjab,66
Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,48
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Mumbai Indians,56
Dubai International Cricket Stadium,1,Delhi Capitals,Chennai Super Kings,36
Dubai International Cricket Stadium,2,Chennai Super Kings,Delhi Capitals,34
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,47
Sharjah Cricket Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,43
Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,59
Sheikh Zayed Stadium,2,Rajasthan Royals,Mumbai Indians,55
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,58
Dubai International Cricket Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,45
Dubai International Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,47
Dubai International Cricket Stadium,2,Rajasthan Royals,Delhi Capitals,50
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,46
Dubai International Cricket Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,48
Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,40
Sheikh Zayed Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,52
Dubai International Cricket Stadium,1,Delhi Capitals,Kings XI Punjab,53
Dubai International Cricket Stadium,2,Kings XI Punjab,Delhi Capitals,57
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Mumbai Indians,59
Dubai International Cricket Stadium,2,Mumbai Indians,Royal Challengers Bangalore,35
Dubai International Cricket Stadium,1,Mumbai Indians,Delhi Capitals,63
Dubai International Cricket Stadium,2,Delhi Capitals,Mumbai Indians,32
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,32
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,48
Sheikh Zayed Stadium,1,Delhi Capitals,Sunrisers Hyderabad,64
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Delhi Capitals,49
Dubai International Cricket Stadium,1,Delhi Capitals,Mumbai Indians,41
Dubai International Cricket Stadium,2,Mumbai Indians,Delhi Capitals,61
"MA Chidambaram Stadium, Chepauk, Chennai",1,Mumbai Indians,Royal Challengers Bangalore,41
"MA Chidambaram Stadium, Chepauk, Chennai",2,Royal Challengers Bangalore,Mumbai Indians,46
"Wankhede Stadium, Mumbai",1,Chennai Super Kings,Delhi Capitals,33
"Wankhede Stadium, Mumbai",2,Delhi Capitals,Chennai Super Kings,65
"MA Chidambaram Stadium, Chepauk, Chennai",1,Kolkata Knight Riders,Sunrisers Hyderabad,50
"MA Chidambaram Stadium, Chepauk, Chennai",2,Sunrisers Hyderabad,Kolkata Knight Riders,35
